1011246,Hypno-Hustler,3
1009362,Iceman,598
1010933,Iceman (Ultimate),68
1017475,Iceman (X-Men: Battle of the Atom),0
1011077,Ikaris,15
1010758,Illuminati,19
1009529,Ilyana Rasputin,1
1012923,Immortus,21
1011273,Imp,0
1011089,Imperfects,0
1009363,Imperial Guard,19
1009364,Impossible Man,25
1011063,In-Betweener,5
1011064,Inertia,3
1011146,Infant Terrible,0
1009365,Inhumans,256
1011293,Ink,2
1011024,Invaders,94
1009366,Invisible Woman,740
1017301,Invisible Woman (Marvel: Avengers Alliance),0
1010934,Invisible Woman (Ultimate),52
1011379,Iron Cross Army,0
1011318,Iron Fist (Bei Bang-Wen),7
1009367,Iron Fist (Danny Rand),428
1010888,Iron Fist (Orson Randall),14
1011413,Iron Fist (Quan Yaozu),1
1016839,Iron Fist (USM),0
1011412,Iron Fist (Wu Ao-Shi),2
1010704,Iron Lad,17
1009368,Iron Man,2738
1017320,Iron Man (Iron Man 3 - The Official Game),0
1017294,Iron Man (LEGO Marvel Super Heroes),0
1017310,Iron Man (Marvel Heroes),0
1017326,Iron Man (Marvel War of Heroes),0
1010935,Iron Man (Ultimate),77
1017104,Iron Man/Tony Stark (MAA),0
1009371,Iron Monger,0
1009487,Iron Patriot,6
1009538,Iron Patriot (James Rhodes),76
1010844,Ironclad,0
1017831,Ironheart (Riri Williams),96
1011876,Isaiah Bradley,8
1009372,J. Jonah Jameson,283
1010736,Jack Flag,0
1010786,Jack Murdock,8
1010766,Jack O' Lantern,10
1011251,Jack Power,6
1011288,Jackal,42
1011259,Jackpot,7
1010775,James Buchanan Barnes,3
1010777,James Howlett,3
1011343,Jamie Braddock,17
1010329,Jane Foster,95
1010878,"Janus, the Nega-Man",1
1009597,Jasper Sitwell,23
1011344,Jazinda,0
1009496,Jean Grey,61
1009327,Jean Grey,242
1010946,Jean Grey (Ultimate),78
1009604,Jennifer Smith,0
1011404,Jeryn Hogarth,19
1010667,Jessica Drew,13
1009378,Jessica Jones,173
1009373,Jetstream,1
1009374,Jigsaw,21
